Date,close_fox,close_tko
2019-10-01,31.18,71.16
2019-10-02,30.31,66.38
2019-10-03,30.39,68.74
2019-10-04,30.49,70.25
2019-10-07,30.49,69.35
2019-10-08,30.03,67.7
2019-10-09,30.26,66.63
2019-10-10,30.42,67.62
2019-10-11,31.16,70.02
2019-10-14,31.01,69.62
2019-10-15,31.44,69.49
2019-10-16,31.58,70.16
2019-10-17,31.49,70.26
2019-10-18,31.52,67.0
2019-10-21,32.09,69.04
2019-10-22,32.77,66.75
2019-10-23,32.61,66.62
2019-10-24,31.6,66.93
2019-10-25,31.7,68.37
2019-10-28,32.21,68.91
2019-10-29,32.05,68.16
2019-10-30,31.36,66.44
2019-10-31,31.24,56.04
2019-11-01,31.86,55.96
2019-11-04,31.9,53.16
2019-11-05,32.15,55.77
2019-11-06,32.33,55.42
2019-11-07,34.25,54.59
2019-11-08,34.43,54.72
2019-11-11,34.22,55.9
2019-11-12,33.81,55.22
2019-11-13,33.57,54.38
2019-11-14,33.45,56.27
2019-11-15,33.6,57.66
2019-11-18,34.46,58.7
2019-11-19,35.43,60.45
2019-11-20,34.99,60.26
2019-11-21,34.78,59.09
2019-11-22,34.88,60.25
2019-11-25,34.85,60.51
2019-11-26,35.19,61.0
2019-11-27,35.03,62.46
2019-11-29,34.98,62.02
2019-12-02,34.81,61.52
2019-12-03,34.35,61.88
2019-12-04,34.64,61.74
2019-12-05,34.63,62.26
2019-12-06,34.6,63.21
2019-12-09,34.79,62.69
2019-12-10,34.92,61.66
2019-12-11,35.29,62.86
2019-12-12,35.96,61.26
2019-12-13,35.86,62.86
2019-12-16,35.89,63.69
2019-12-17,36.24,64.1
2019-12-18,36.0,64.0
2019-12-19,36.05,64.57
2019-12-20,36.22,64.95
2019-12-23,36.63,65.18
2019-12-24,36.5,64.92
2019-12-26,36.8,65.44
2019-12-27,36.72,64.92
2019-12-30,36.44,64.18
2019-12-31,36.4,64.87
2020-01-02,36.46,64.22
2020-01-03,36.1,64.76
2020-01-06,36.01,65.14
2020-01-07,36.47,66.4
2020-01-08,36.42,62.83
2020-01-09,36.5,63.67
2020-01-10,36.08,60.69
2020-01-13,36.3,61.4
2020-01-14,36.54,62.68
2020-01-15,36.79,62.09
2020-01-16,38.23,63.8
2020-01-17,38.58,62.85
2020-01-21,38.41,61.93
2020-01-22,38.4,62.91
2020-01-23,36.9,62.46
2020-01-24,36.04,59.66
2020-01-27,36.37,59.09
2020-01-28,36.62,60.43
2020-01-29,35.99,60.94
2020-01-30,36.46,62.3
2020-01-31,36.33,48.88
2020-02-03,36.83,46.08
2020-02-04,37.4,47.36
2020-02-05,37.93,49.0
2020-02-06,36.5,44.5
2020-02-07,36.37,42.53
2020-02-10,36.78,42.05
2020-02-11,36.61,42.74
2020-02-12,37.16,42.24
2020-02-13,37.52,43.76
2020-02-14,37.31,44.93
2020-02-18,37.22,45.96
2020-02-19,37.53,46.52
2020-02-20,36.54,47.74
2020-02-21,35.5,50.23
2020-02-24,34.27,48.73
2020-02-25,32.83,48.81
2020-02-26,32.4,48.41
2020-02-27,30.99,45.86
2020-02-28,30.45,46.77
2020-03-02,31.79,46.36
2020-03-03,30.71,45.2
2020-03-04,30.67,44.98
2020-03-05,29.12,44.91
2020-03-06,28.52,42.7
2020-03-09,27.13,41.16
2020-03-10,28.76,41.19
2020-03-11,27.52,38.72
2020-03-12,25.56,32.38
2020-03-13,25.38,35.86
2020-03-16,23.19,30.44
2020-03-17,23.79,32.75
2020-03-18,21.41,33.94
2020-03-19,21.94,36.03
2020-03-20,20.05,36.5
2020-03-23,19.81,37.72
2020-03-24,21.65,39.04
2020-03-25,23.34,34.38
2020-03-26,24.6,34.95
2020-03-27,22.04,33.8
2020-03-30,23.77,33.44
2020-03-31,22.88,33.93
2020-04-01,21.57,33.6
2020-04-02,21.84,34.65
2020-04-03,21.59,34.13
2020-04-06,24.45,35.08
2020-04-07,24.97,35.93
2020-04-08,25.82,36.27
2020-04-09,25.64,37.42
2020-04-13,25.4,37.46
2020-04-14,26.01,38.37
2020-04-15,25.17,38.9
2020-04-16,25.13,39.67
2020-04-17,26.23,40.54
2020-04-20,25.69,40.57
2020-04-21,25.05,39.53
2020-04-22,24.59,39.48
2020-04-23,24.45,39.07
2020-04-24,24.52,44.79
2020-04-27,26.01,44.08
2020-04-28,26.97,44.37
2020-04-29,27.95,45.18
2020-04-30,25.56,44.47
2020-05-01,25.02,43.92
2020-05-04,24.63,44.0
2020-05-05,23.85,44.31
2020-05-06,24.61,43.51
2020-05-07,25.01,43.81
2020-05-08,25.73,46.06
2020-05-11,25.45,44.43
2020-05-12,24.89,43.04
2020-05-13,24.06,41.47
2020-05-14,25.12,42.04
2020-05-15,25.5,41.64
2020-05-18,26.85,43.56
2020-05-19,26.94,43.48
2020-05-20,27.37,45.75
2020-05-21,27.23,44.77
2020-05-22,27.37,44.51
2020-05-26,28.59,44.98
2020-05-27,29.3,45.87
2020-05-28,28.66,45.03
2020-05-29,28.78,46.27
2020-06-01,29.14,47.15
2020-06-02,28.87,47.39
2020-06-03,30.22,47.73
2020-06-04,29.94,47.02
2020-06-05,30.25,48.19
2020-06-08,31.68,48.76
2020-06-09,30.33,46.69
2020-06-10,29.73,46.7
2020-06-11,27.62,43.94
2020-06-12,27.95,44.47
2020-06-15,28.86,45.25
2020-06-16,28.02,44.61
2020-06-17,27.76,44.84
2020-06-18,28.66,45.25
2020-06-19,27.82,45.21
2020-06-22,27.6,44.84
2020-06-23,27.81,44.74
2020-06-24,27.01,43.85
2020-06-25,26.75,43.02
2020-06-26,25.75,41.36
2020-06-29,26.79,43.59
2020-06-30,26.84,43.45
2020-07-01,26.92,44.82
2020-07-02,26.55,45.51
2020-07-06,26.53,46.38
2020-07-07,25.77,45.0
2020-07-08,25.39,45.86
2020-07-09,24.45,45.17
2020-07-10,25.39,46.25
2020-07-13,25.05,44.48
2020-07-14,25.13,45.57
2020-07-15,26.25,47.12
2020-07-16,26.4,46.73
2020-07-17,25.26,46.06
2020-07-20,24.82,46.26
2020-07-21,25.35,45.84
2020-07-22,25.87,45.93
2020-07-23,26.13,45.56
2020-07-24,26.49,44.72
2020-07-27,25.69,44.91
2020-07-28,25.71,44.9
2020-07-29,25.92,44.56
2020-07-30,25.88,45.43
2020-07-31,25.77,46.61
2020-08-03,26.25,44.17
2020-08-04,26.71,44.31
2020-08-05,24.85,45.26
