Date,Close
2019-10-01,71.16
2019-10-02,66.38
2019-10-03,68.74
2019-10-04,70.25
2019-10-07,69.35
2019-10-08,67.7
2019-10-09,66.63
2019-10-10,67.62
2019-10-11,70.02
2019-10-14,69.62
2019-10-15,69.49
2019-10-16,70.16
2019-10-17,70.26
2019-10-18,67.0
2019-10-21,69.04
2019-10-22,66.75
2019-10-23,66.62
2019-10-24,66.93
2019-10-25,68.37
2019-10-28,68.91
2019-10-29,68.16
2019-10-30,66.44
2019-10-31,56.04
2019-11-01,55.96
2019-11-04,53.16
2019-11-05,55.77
2019-11-06,55.42
2019-11-07,54.59
2019-11-08,54.72
2019-11-11,55.9
2019-11-12,55.22
2019-11-13,54.38
2019-11-14,56.27
2019-11-15,57.66
2019-11-18,58.7
2019-11-19,60.45
2019-11-20,60.26
2019-11-21,59.09
2019-11-22,60.25
2019-11-25,60.51
2019-11-26,61.0
2019-11-27,62.46
2019-11-29,62.02
2019-12-02,61.52
2019-12-03,61.88
2019-12-04,61.74
2019-12-05,62.26
2019-12-06,63.21
2019-12-09,62.69
2019-12-10,61.66
2019-12-11,62.86
2019-12-12,61.26
2019-12-13,62.86
2019-12-16,63.69
2019-12-17,64.1
2019-12-18,64.0
2019-12-19,64.57
2019-12-20,64.95
2019-12-23,65.18
2019-12-24,64.92
2019-12-26,65.44
2019-12-27,64.92
2019-12-30,64.18
2019-12-31,64.87
2020-01-02,64.22
2020-01-03,64.76
2020-01-06,65.14
2020-01-07,66.4
2020-01-08,62.83
2020-01-09,63.67
2020-01-10,60.69
2020-01-13,61.4
2020-01-14,62.68
2020-01-15,62.09
2020-01-16,63.8
2020-01-17,62.85
2020-01-21,61.93
2020-01-22,62.91
2020-01-23,62.46
2020-01-24,59.66
2020-01-27,59.09
2020-01-28,60.43
2020-01-29,60.94
2020-01-30,62.3
2020-01-31,48.88
2020-02-03,46.08
2020-02-04,47.36
2020-02-05,49.0
2020-02-06,44.5
2020-02-07,42.53
2020-02-10,42.05
2020-02-11,42.74
2020-02-12,42.24
2020-02-13,43.76
2020-02-14,44.93
2020-02-18,45.96
2020-02-19,46.52
2020-02-20,47.74
2020-02-21,50.23
2020-02-24,48.73
2020-02-25,48.81
2020-02-26,48.41
2020-02-27,45.86
2020-02-28,46.77
2020-03-02,46.36
2020-03-03,45.2
2020-03-04,44.98
2020-03-05,44.91
2020-03-06,42.7
2020-03-09,41.16
2020-03-10,41.19
2020-03-11,38.72
2020-03-12,32.38
2020-03-13,35.86
2020-03-16,30.44
2020-03-17,32.75
2020-03-18,33.94
2020-03-19,36.03
2020-03-20,36.5
2020-03-23,37.72
2020-03-24,39.04
2020-03-25,34.38
2020-03-26,34.95
2020-03-27,33.8
2020-03-30,33.44
2020-03-31,33.93
2020-04-01,33.6
2020-04-02,34.65
2020-04-03,34.13
2020-04-06,35.08
2020-04-07,35.93
2020-04-08,36.27
2020-04-09,37.42
2020-04-13,37.46
2020-04-14,38.37
2020-04-15,38.9
2020-04-16,39.67
2020-04-17,40.54
2020-04-20,40.57
2020-04-21,39.53
2020-04-22,39.48
2020-04-23,39.07
2020-04-24,44.79
2020-04-27,44.08
2020-04-28,44.37
2020-04-29,45.18
2020-04-30,44.47
2020-05-01,43.92
2020-05-04,44.0
2020-05-05,44.31
2020-05-06,43.51
2020-05-07,43.81
2020-05-08,46.06
2020-05-11,44.43
2020-05-12,43.04
2020-05-13,41.47
2020-05-14,42.04
2020-05-15,41.64
2020-05-18,43.56
2020-05-19,43.48
2020-05-20,45.75
2020-05-21,44.77
2020-05-22,44.51
2020-05-26,44.98
2020-05-27,45.87
2020-05-28,45.03
2020-05-29,46.27
2020-06-01,47.15
2020-06-02,47.39
2020-06-03,47.73
2020-06-04,47.02
2020-06-05,48.19
2020-06-08,48.76
2020-06-09,46.69
2020-06-10,46.7
2020-06-11,43.94
2020-06-12,44.47
2020-06-15,45.25
2020-06-16,44.61
2020-06-17,44.84
2020-06-18,45.25
2020-06-19,45.21
2020-06-22,44.84
2020-06-23,44.74
2020-06-24,43.85
2020-06-25,43.02
2020-06-26,41.36
2020-06-29,43.59
2020-06-30,43.45
2020-07-01,44.82
2020-07-02,45.51
2020-07-06,46.38
2020-07-07,45.0
2020-07-08,45.86
2020-07-09,45.17
2020-07-10,46.25
2020-07-13,44.48
2020-07-14,45.57
2020-07-15,47.12
2020-07-16,46.73
2020-07-17,46.06
2020-07-20,46.26
2020-07-21,45.84
2020-07-22,45.93
2020-07-23,45.56
2020-07-24,44.72
2020-07-27,44.91
2020-07-28,44.9
2020-07-29,44.56
2020-07-30,45.43
2020-07-31,46.61
2020-08-03,44.17
2020-08-04,44.31
2020-08-05,45.26
2020-08-06,45.42
2020-08-07,43.7
2020-08-10,44.09
2020-08-11,45.41
2020-08-12,45.51
2020-08-13,45.83
2020-08-14,45.37
2020-08-17,44.89
2020-08-18,44.77
2020-08-19,44.68
2020-08-20,44.03
2020-08-21,42.73
2020-08-24,44.98
2020-08-25,44.5
2020-08-26,45.46
2020-08-27,45.14
2020-08-28,44.92
2020-08-31,44.07
2020-09-01,43.53
2020-09-02,44.36
2020-09-03,42.52
2020-09-04,43.08
2020-09-08,42.72
2020-09-09,42.26
2020-09-10,42.46
2020-09-11,41.4
2020-09-14,41.12
2020-09-15,41.15
2020-09-16,41.08
2020-09-17,40.73
2020-09-18,40.16
2020-09-21,39.36
2020-09-22,39.21
2020-09-23,38.35
2020-09-24,38.82
2020-09-25,39.15
2020-09-28,39.87
2020-09-29,40.03
2020-09-30,40.47
2020-10-01,40.37
2020-10-02,40.16
2020-10-05,39.22
2020-10-06,39.76
2020-10-07,40.08
2020-10-08,39.85
2020-10-09,40.16
2020-10-12,40.08
2020-10-13,40.57
2020-10-14,41.65
2020-10-15,40.96
2020-10-16,39.78
2020-10-19,38.65
2020-10-20,38.71
2020-10-21,38.99
2020-10-22,38.6
2020-10-23,38.28
2020-10-26,37.65
2020-10-27,37.48
2020-10-28,36.65
2020-10-29,37.33
2020-10-30,36.36
2020-11-02,38.41
2020-11-03,38.5
2020-11-04,39.1
2020-11-05,37.78
2020-11-06,38.92
2020-11-09,40.23
2020-11-10,40.53
2020-11-11,41.11
2020-11-12,40.3
2020-11-13,40.88
2020-11-16,42.26
2020-11-17,42.23
2020-11-18,41.47
2020-11-19,41.95
2020-11-20,40.97
2020-11-23,41.3
2020-11-24,42.03
2020-11-25,41.97
2020-11-27,41.8
2020-11-30,43.04
2020-12-01,44.86
2020-12-02,44.48
2020-12-03,44.12
2020-12-04,44.97
2020-12-07,44.3
2020-12-08,43.77
2020-12-09,43.82
2020-12-10,44.44
2020-12-11,44.25
2020-12-14,44.61
2020-12-15,45.68
2020-12-16,45.53
2020-12-17,47.49
2020-12-18,46.43
2020-12-21,46.19
2020-12-22,47.14
2020-12-23,47.76
2020-12-24,47.32
2020-12-28,47.92
2020-12-29,48.17
2020-12-30,48.38
2020-12-31,48.05
2021-01-04,47.22
2021-01-05,48.02
2021-01-06,48.5
2021-01-07,48.43
2021-01-08,48.24
2021-01-11,47.25
2021-01-12,48.71
2021-01-13,50.18
2021-01-14,51.68
2021-01-15,50.83
2021-01-19,52.08
2021-01-20,51.55
2021-01-21,52.59
2021-01-22,55.52
2021-01-25,53.96
2021-01-26,57.46
2021-01-27,57.44
2021-01-28,56.49
2021-01-29,56.33
2021-02-01,57.58
2021-02-02,57.16
2021-02-03,56.51
2021-02-04,56.0
2021-02-05,49.23
2021-02-08,47.42
2021-02-09,47.24
2021-02-10,46.68
2021-02-11,47.06
2021-02-12,46.41
2021-02-16,46.5
2021-02-17,47.49
2021-02-18,47.27
2021-02-19,46.81
2021-02-22,47.73
2021-02-23,48.24
2021-02-24,49.81
2021-02-25,48.9
2021-02-26,49.4
2021-03-01,52.49
2021-03-02,52.9
2021-03-03,51.82
2021-03-04,52.58
2021-03-05,54.5
2021-03-08,56.75
2021-03-09,56.07
2021-03-10,57.22
2021-03-11,58.28
2021-03-12,57.21
2021-03-15,57.67
2021-03-16,57.72
2021-03-17,56.57
2021-03-18,55.96
2021-03-19,57.12
2021-03-22,57.74
2021-03-23,56.37
2021-03-24,56.59
2021-03-25,55.25
2021-03-26,55.0
2021-03-29,56.09
